# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.05233e-05 to 105.341 h/Mpc,
# number of wavenumbers equal to 132
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_m                    6:d_ur                   7:d_tot                  8:phi                    9:psi                
       1.585598342893e-01       1.554482081177e-02      -1.675775384173e+04      -1.685408129310e+04      -1.683921527143e+04       1.585959218067e-02      -1.683428990278e+04       3.549188506588e-02       3.549188506588e-02 
       1.638643869571e-01       1.478505440974e-02      -1.701874903025e+04      -1.712147095915e+04      -1.710561809041e+04       1.508443792079e-02      -1.710061480094e+04       3.375694999031e-02       3.375694999031e-02 
       1.693452796308e-01       1.413118726128e-02      -1.737197936122e+04      -1.747686220450e+04      -1.746067584600e+04       1.441732463531e-02      -1.745556870476e+04       3.226327445969e-02       3.226327445969e-02 
       1.750088452092e-01       1.358014739366e-02      -1.783385734533e+04      -1.793639229813e+04      -1.792056828472e+04       1.385512347915e-02      -1.791532662827e+04       3.100454505611e-02       3.100454505611e-02 
       1.808614932489e-01       1.310560532150e-02      -1.838834950808e+04      -1.848515722775e+04      -1.847021708664e+04       1.337097250556e-02      -1.846481466182e+04       2.992081088896e-02       2.992081088896e-02 
       1.869097319797e-01       1.266782710826e-02      -1.898981425572e+04      -1.907990353938e+04      -1.906600024096e+04       1.292431682065e-02      -1.906042355376e+04       2.891940467010e-02       2.891940467010e-02 
       1.931601956551e-01       1.222080057269e-02      -1.957057367261e+04      -1.965594589509e+04      -1.964277057120e+04       1.246822742600e-02      -1.963702518270e+04       2.789722816587e-02       2.789722816587e-02 
       1.996196780992e-01       1.172795135247e-02      -2.006154900825e+04      -2.014673748877e+04      -2.013359052133e+04       1.196541218457e-02      -2.012770157140e+04       2.677368277427e-02       2.677368277427e-02 
       2.062951733253e-01       1.118389472750e-02      -2.042856528856e+04      -2.051903025001e+04      -2.050506897373e+04       1.141033782514e-02      -2.049907136893e+04       2.553152077450e-02       2.553152077450e-02 
       2.131939241352e-01       1.060791936381e-02      -2.069303488882e+04      -2.079294747660e+04      -2.077752816691e+04       1.082275424918e-02      -2.077145086973e+04       2.422355146464e-02       2.422355146464e-02 
       2.203234796654e-01       1.004816865973e-02      -2.092209253352e+04      -2.103242129735e+04      -2.101539447991e+04       1.025162988020e-02      -2.100924760853e+04       2.294085321178e-02       2.294085321178e-02 
       2.276917629459e-01       9.535663086020e-03      -2.120153300762e+04      -2.131942207427e+04      -2.130122849027e+04       9.728757984340e-03      -2.129499801448e+04       2.177226415854e-02       2.177226415854e-02 
       2.353071496834e-01       9.095229121785e-03      -2.159865928020e+04      -2.171865457153e+04      -2.170013593798e+04       9.279412919484e-03      -2.169378878455e+04       2.076757518614e-02       2.076757518614e-02 
       2.431785597023e-01       8.724868603068e-03      -2.212982008985e+04      -2.224660664478e+04      -2.222858320903e+04       8.901525361062e-03      -2.222208148842e+04       1.991841617857e-02       1.991841617857e-02 
       2.513155627822e-01       8.391032524224e-03      -2.273801959908e+04      -2.284934549133e+04      -2.283216478869e+04       8.560927743774e-03      -2.282548652459e+04       1.915587114842e-02       1.915587114842e-02 
       2.597285010502e-01       8.055459699799e-03      -2.331919971584e+04      -2.342726222331e+04      -2.341058515227e+04       8.218557716144e-03      -2.340373770415e+04       1.838936081622e-02       1.838936081622e-02 
       2.684286306594e-01       7.693532826004e-03      -2.378925550460e+04      -2.389943615062e+04      -2.388243219142e+04       7.849306856753e-03      -2.387544673124e+04       1.756363748916e-02       1.756363748916e-02 
       2.774282862368e-01       7.307122035416e-03      -2.413501417884e+04      -2.425241881168e+04      -2.423429998892e+04       7.455098497432e-03      -2.422721160982e+04       1.668486067886e-02       1.668486067886e-02 
       2.867410725913e-01       6.925807043974e-03      -2.442992226943e+04      -2.455589995565e+04      -2.453645807057e+04       7.066054698178e-03      -2.452928131232e+04       1.581341407823e-02       1.581341407823e-02 
       2.963820894950e-01       6.579406571031e-03      -2.479271222836e+04      -2.492395016070e+04      -2.490369647225e+04       6.712642531563e-03      -2.489641229928e+04       1.502288997965e-02       1.502288997965e-02 
       3.063681971095e-01       6.279910891388e-03      -2.528401578899e+04      -2.541520592626e+04      -2.539495961386e+04       6.407064656631e-03      -2.538753174976e+04       1.433685021285e-02       1.433685021285e-02 
       3.167183319663e-01       6.009461605599e-03      -2.586173113448e+04      -2.598995403902e+04      -2.597016565369e+04       6.131136362539e-03      -2.596256954569e+04       1.371898243281e-02       1.371898243281e-02 
       3.274538865532e-01       5.740842823157e-03      -2.641968074449e+04      -2.654679941803e+04      -2.652718144642e+04       5.857108599228e-03      -2.651942241504e+04       1.310944760714e-02       1.310944760714e-02 
       3.385991698130e-01       5.461807646759e-03      -2.687315746353e+04      -2.700388159585e+04      -2.698370720091e+04       5.572417172811e-03      -2.697581463883e+04       1.247163582535e-02       1.247163582535e-02 
       3.501819717084e-01       5.180583528200e-03      -2.725430140188e+04      -2.739149941993e+04      -2.737032592304e+04       5.285480186136e-03      -2.736232027759e+04       1.182731012543e-02       1.182731012543e-02 
       3.622342631278e-01       4.915530089878e-03      -2.766716730513e+04      -2.780910402435e+04      -2.778719921309e+04       5.015055996742e-03      -2.777907163501e+04       1.122171677885e-02       1.122171677885e-02 
       3.747930738711e-01       4.675627466071e-03      -2.818242206966e+04      -2.832508570409e+04      -2.830306870940e+04       4.770318762123e-03      -2.829479024295e+04       1.067687100065e-02       1.067687100065e-02 
       3.879016078773e-01       4.453091708057e-03      -2.874678631092e+04      -2.888879470079e+04      -2.886687882864e+04       4.543254758508e-03      -2.885843545149e+04       1.016600344859e-02       1.016600344859e-02 
       4.016106788048e-01       4.229345585491e-03      -2.926664513725e+04      -2.941067896501e+04      -2.938845051102e+04       4.314978033042e-03      -2.937985457763e+04       9.655166500360e-03       9.655166500360e-03 
       4.159805846340e-01       4.004682592889e-03      -2.972851028264e+04      -2.987731063385e+04      -2.985434657174e+04       4.085766173208e-03      -2.984561436686e+04       9.142290798113e-03       9.142290798113e-03 
       4.310835938483e-01       3.790017293122e-03      -3.021444524929e+04      -3.036704030973e+04      -3.034349061765e+04       3.866755726237e-03      -3.033461534140e+04       8.652390912756e-03       8.652390912756e-03 
       4.470072992362e-01       3.588417444826e-03      -3.076884085601e+04      -3.092269097079e+04      -3.089894758863e+04       3.661090656753e-03      -3.088990984490e+04       8.194227947351e-03       8.194227947351e-03 
       4.638592278864e-01       3.395475543590e-03      -3.134377731624e+04      -3.149922108735e+04      -3.147523175935e+04       3.464224812590e-03      -3.146602545632e+04       7.751577939265e-03       7.751577939265e-03 
       4.817733121261e-01       3.202251625072e-03      -3.188621352447e+04      -3.204543650803e+04      -3.202086394164e+04       3.267088069403e-03      -3.201149804481e+04       7.310400175206e-03       7.310400175206e-03 
       5.009191895708e-01       3.013975449975e-03      -3.244525248116e+04      -3.260795278111e+04      -3.258284356737e+04       3.075002580849e-03      -3.257331329522e+04       6.880931393811e-03       6.880931393811e-03 
       5.215159324747e-01       2.833935046062e-03      -3.306657774493e+04      -3.323140014956e+04      -3.320596343558e+04       2.891314008530e-03      -3.319625090499e+04       6.469556450664e-03       6.469556450664e-03 
       5.438529485673e-01       2.655113511961e-03      -3.369649622191e+04      -3.386453573875e+04      -3.383860253421e+04       2.708880252505e-03      -3.382870496085e+04       6.062378214455e-03       6.062378214455e-03 
       5.683229503997e-01       2.478887037178e-03      -3.434963317123e+04      -3.452137798374e+04      -3.449487294825e+04       2.529078991920e-03      -3.448478342013e+04       5.659235201453e-03       5.659235201453e-03 
       5.954761615301e-01       2.305052125695e-03      -3.506582712664e+04      -3.524069209061e+04      -3.521370552832e+04       2.351723810792e-03      -3.520340574639e+04       5.262311478993e-03       5.262311478993e-03 
       6.261138818697e-01       2.130147850751e-03      -3.582545001484e+04      -3.600434769971e+04      -3.597673877558e+04       2.173278422548e-03      -3.596621581145e+04       4.863049722167e-03       4.863049722167e-03 
       6.614595265293e-01       1.953517479986e-03      -3.667002114409e+04      -3.685297048292e+04      -3.682473627505e+04       1.993072546454e-03      -3.681396527722e+04       4.459915976694e-03       4.459915976694e-03 
